game_id;game_name;uuid;timestamp;1) Em uma escala de 1 a 5, o quanto você se sentiu entediado no início do jogo?;2) Em uma escala de 1 a 5, o quanto você se sentiu estressado no início do jogo?;3) Em uma escala de 1 a 5, o quanto você se sentiu entediado no final do jogo?;4) Em uma escala de 1 a 5, o quanto você se sentiu estressado no final do jogo?;5) Qual parte do jogo descreve melhor o momento que você mais se divertiu?;6) Você considera que entendeu como jogar o jogo corretamente?
2;Tetris;88;1,60627E+12;2;1;2;3;3;2
1;Card Flipper;89;1,60632E+12;1;3;1;3;1;1
3;Platformer;89;1,60632E+12;1;4;1;4;1;0
2;Tetris;89;1,60632E+12;5;5;5;5;5;0
1;Card Flipper;90;1,60641E+12;2;1;1;1;4;2
1;Card Flipper;94;1,60675E+12;3;3;3;3;2;2
3;Platformer;94;1,60675E+12;3;3;3;3;2;1
1;Card Flipper;96;1,60675E+12;5;3;5;2;1;1
3;Platformer;96;1,60675E+12;4;2;4;2;1;2
2;Tetris;96;1,60675E+12;3;2;2;5;3;2
1;Card Flipper;98;1,60763E+12;3;1;5;2;2;2
1;Card Flipper;99;1,60763E+12;2;1;3;3;3;1
1;Card Flipper;100;1,60763E+12;2;1;1;1;3;1
1;Card Flipper;104;1,60763E+12;5;1;4;1;5;2
1;Card Flipper;105;1,60763E+12;1;1;1;1;1;2
1;Card Flipper;109;1,60763E+12;3;1;1;4;4;2
3;Platformer;109;1,60764E+12;1;1;1;3;3;2
2;Tetris;109;1,60764E+12;2;1;1;5;3;2
1;Card Flipper;111;1,60764E+12;2;1;1;1;2;2
3;Platformer;111;1,60764E+12;5;4;5;4;5;2
1;Card Flipper;112;1,60765E+12;1;2;2;3;3;2
3;Platformer;112;1,60765E+12;4;4;3;5;1;2
1;Card Flipper;113;1,60765E+12;2;2;3;3;3;2
3;Platformer;113;1,60765E+12;2;4;3;5;1;2
2;Tetris;113;1,60765E+12;2;3;3;3;2;2
1;Card Flipper;114;1,60765E+12;2;2;2;3;3;2
1;Card Flipper;114;1,60765E+12;2;2;2;3;3;2
1;Card Flipper;121;1,60799E+12;2;1;1;5;4;2
3;Platformer;121;1,60799E+12;4;1;1;5;4;2
2;Tetris;121;1,60799E+12;4;1;1;5;4;2
1;Card Flipper;124;1,60814E+12;2;1;3;4;3;2
3;Platformer;124;1,60814E+12;5;1;2;5;3;2
2;Tetris;124;1,60814E+12;5;5;2;3;4;2
1;Card Flipper;125;1,60877E+12;5;1;1;5;3;0
3;Platformer;125;1,60877E+12;1;5;1;1;3;2
2;Tetris;125;1,60877E+12;1;5;1;1;1;1
1;Card Flipper;126;1,60956E+12;4;5;1;1;4;1
1;Card Flipper;129;1,61136E+12;5;2;2;4;3;2
3;Platformer;129;1,61136E+12;5;2;4;4;2;2
2;Tetris;129;1,61136E+12;4;2;2;3;4;2
1;Card Flipper;150;1,61306E+12;2;1;1;5;3;2
1;Card Flipper;150;1,61306E+12;2;1;1;5;3;2
2;Tetris;150;1,61307E+12;5;1;1;5;3;2
1;Card Flipper;151;1,61307E+12;1;1;4;5;1;2
3;Platformer;151;1,61307E+12;5;4;1;2;3;2
2;Tetris;151;1,61307E+12;2;1;1;2;3;2
1;Card Flipper;157;1,6142E+12;1;1;1;1;5;2
3;Platformer;157;1,6142E+12;2;2;2;2;2;2
2;Tetris;157;1,6142E+12;1;1;3;4;3;2
1;Card Flipper;159;1,61421E+12;3;2;1;4;4;2
3;Platformer;159;1,61421E+12;5;1;5;1;5;2
3;Platformer;159;1,61421E+12;5;1;5;1;5;2
1;Card Flipper;174;1,61421E+12;2;2;2;4;3;2
3;Platformer;174;1,61421E+12;2;1;1;5;3;2
2;Tetris;174;1,61421E+12;1;1;1;4;4;2
1;Card Flipper;176;1,61421E+12;2;1;5;5;2;2
1;Card Flipper;180;1,61421E+12;1;1;1;4;2;1
1;Card Flipper;184;1,61421E+12;2;2;4;4;2;2
1;Card Flipper;186;1,61421E+12;1;4;2;4;4;2
3;Platformer;186;1,61421E+12;2;1;1;4;4;2
2;Tetris;186;1,61421E+12;5;1;5;1;5;0
1;Card Flipper;187;1,61421E+12;3;3;2;4;5;1
3;Platformer;187;1,61421E+12;1;1;3;4;5;2
2;Tetris;187;1,61421E+12;1;1;1;5;4;2
1;Card Flipper;188;1,61421E+12;4;1;1;4;4;1
3;Platformer;188;1,61421E+12;1;2;1;5;3;2
2;Tetris;188;1,61421E+12;1;1;1;4;3;2
1;Card Flipper;191;1,61421E+12;5;4;1;3;4;2
1;Card Flipper;192;1,61421E+12;1;1;1;1;3;2
3;Platformer;192;1,61421E+12;1;1;1;1;2;2
2;Tetris;192;1,61421E+12;1;1;1;1;2;2
1;Card Flipper;194;1,61421E+12;2;1;5;4;2;2
3;Platformer;194;1,61421E+12;1;1;4;5;3;2
2;Tetris;194;1,61421E+12;4;2;1;5;4;2
1;Card Flipper;195;1,61421E+12;5;1;1;4;4;2
3;Platformer;195;1,61421E+12;5;1;1;5;3;2
2;Tetris;195;1,61421E+12;2;3;1;3;1;2
1;Card Flipper;196;1,61421E+12;2;1;1;5;2;1
3;Platformer;196;1,61421E+12;1;1;1;1;1;2
1;Card Flipper;197;1,61421E+12;1;1;1;5;3;2
3;Platformer;197;1,61422E+12;1;1;1;5;2;2
2;Tetris;197;1,61422E+12;1;1;1;5;2;2
1;Card Flipper;198;1,61422E+12;5;2;1;5;4;2
3;Platformer;198;1,61422E+12;1;1;1;2;1;2
2;Tetris;198;1,61422E+12;1;2;1;5;3;2
1;Card Flipper;199;1,61422E+12;2;1;3;5;5;2
3;Platformer;199;1,61422E+12;2;1;1;4;4;2
2;Tetris;199;1,61422E+12;1;1;1;3;3;2
1;Card Flipper;200;1,61434E+12;4;1;1;4;5;2
3;Platformer;200;1,61434E+12;5;2;5;1;3;2
2;Tetris;200;1,61434E+12;5;1;5;1;5;2
1;Card Flipper;202;1,61438E+12;4;2;3;4;4;1
1;Card Flipper;204;1,61438E+12;3;1;1;1;4;1
3;Platformer;204;1,61438E+12;5;4;5;4;2;2
1;Card Flipper;206;1,61473E+12;2;1;4;4;2;2
3;Platformer;206;1,61473E+12;1;1;4;4;2;2
2;Tetris;206;1,61473E+12;1;1;5;5;2;2
1;Card Flipper;209;1,61473E+12;1;1;1;1;4;2
1;Card Flipper;210;1,61473E+12;1;1;1;1;5;1
3;Platformer;210;1,61473E+12;3;3;3;2;2;2
2;Tetris;210;1,61473E+12;4;2;3;1;3;2
1;Card Flipper;213;1,61473E+12;3;2;2;4;3;2
3;Platformer;213;1,61473E+12;2;4;2;5;2;2
2;Tetris;213;1,61473E+12;4;2;2;4;3;2
1;Card Flipper;214;1,61473E+12;2;1;1;4;4;2
1;Card Flipper;216;1,61473E+12;1;1;5;3;2;1
3;Platformer;216;1,61473E+12;1;1;1;1;4;2
2;Tetris;216;1,61473E+12;5;3;3;5;5;2
1;Card Flipper;217;1,61473E+12;5;2;5;4;5;2
1;Card Flipper;219;1,61473E+12;4;4;1;5;2;2
3;Platformer;219;1,61473E+12;3;4;2;4;4;2
2;Tetris;219;1,61473E+12;2;3;4;2;3;2
1;Card Flipper;221;1,61473E+12;4;3;4;3;3;2
3;Platformer;221;1,61473E+12;2;2;3;3;4;1
2;Tetris;221;1,61473E+12;3;2;2;4;4;2
1;Card Flipper;222;1,61473E+12;1;1;1;1;3;2
1;Card Flipper;223;1,61473E+12;2;1;1;4;3;2
3;Platformer;223;1,61473E+12;2;1;1;4;2;2
2;Tetris;223;1,61473E+12;2;1;1;4;3;2
1;Card Flipper;225;1,61473E+12;5;3;5;3;3;1
3;Platformer;225;1,61473E+12;5;1;5;1;5;2
2;Tetris;225;1,61473E+12;5;1;5;1;5;2
1;Card Flipper;227;1,61473E+12;4;1;3;4;4;2
3;Platformer;227;1,61473E+12;5;1;3;5;5;2
2;Tetris;227;1,61473E+12;5;5;5;5;5;2
1;Card Flipper;230;1,61473E+12;1;1;1;4;3;2
3;Platformer;230;1,61473E+12;2;1;1;5;4;2
2;Tetris;230;1,61473E+12;2;1;1;4;3;1
1;Card Flipper;231;1,61473E+12;2;2;3;3;4;2
1;Card Flipper;236;1,61473E+12;4;4;5;4;3;2
3;Platformer;236;1,61473E+12;4;3;3;3;3;1
1;Card Flipper;239;1,61473E+12;4;1;1;1;4;2
3;Platformer;239;1,61473E+12;4;1;1;1;4;2
2;Tetris;239;1,61473E+12;2;1;1;1;4;2
1;Card Flipper;240;1,61473E+12;2;1;5;5;2;1
3;Platformer;240;1,61473E+12;2;1;3;5;3;2
2;Tetris;240;1,61473E+12;1;1;1;4;2;2
1;Card Flipper;241;1,61473E+12;1;1;1;2;4;2
3;Platformer;241;1,61473E+12;1;1;2;3;3;2
2;Tetris;241;1,61473E+12;1;2;1;2;3;2
1;Card Flipper;248;1,61482E+12;3;2;2;5;5;1
1;Card Flipper;251;1,61482E+12;1;1;1;3;4;2
3;Platformer;251;1,61482E+12;1;1;1;4;3;2
2;Tetris;251;1,61482E+12;2;2;1;5;3;2
1;Card Flipper;253;1,61482E+12;2;2;2;3;3;2
3;Platformer;253;1,61482E+12;2;1;1;5;3;2
2;Tetris;253;1,61482E+12;1;1;1;5;2;2
1;Card Flipper;255;1,61482E+12;3;1;2;2;3;2
3;Platformer;255;1,61482E+12;1;2;1;3;3;2
2;Tetris;255;1,61482E+12;1;1;2;1;2;1
1;Card Flipper;257;1,61482E+12;3;2;5;5;2;2
3;Platformer;257;1,61482E+12;3;2;5;5;1;2
2;Tetris;257;1,61482E+12;5;5;5;5;5;2
1;Card Flipper;265;1,61593E+12;1;1;2;3;4;2
3;Platformer;265;1,61593E+12;3;1;2;2;3;2
2;Tetris;265;1,61593E+12;3;1;1;3;3;2
1;Card Flipper;267;1,61602E+12;1;1;1;1;3;1
3;Platformer;267;1,61602E+12;1;1;1;1;3;2
2;Tetris;267;1,61602E+12;3;2;1;1;4;2
1;Card Flipper;274;1,6178E+12;5;1;3;3;3;2

